height,miner,signal
682174,F2Pool,True
682175,BTC.com,False
682176,BTC.com,False
682177,ViaBTC,False
682178,Binance Pool,False
682179,AntPool,True
682180,Huobi Pool,False
682181,Poolin,True
682182,Sigmapool.com,False
682183,Poolin,False
682184,F2Pool,True
682185,ViaBTC,False
682186,Foundry USA,True
682187,F2Pool,True
682188,BTC.com,False
682189,Poolin,True
682190,BTC.com,False
682191,Poolin,False
682192,ViaBTC,False
682193,Huobi Pool,False
682194,F2Pool,True
682195,Binance Pool,False
682196,Huobi Pool,False
682197,ViaBTC,False
682198,F2Pool,True
682199,Poolin,False
682200,F2Pool,True
682201,AntPool,True
682202,SlushPool,True
682203,Foundry USA,True
682204,AntPool,True
682205,AntPool,True
682206,Poolin,False
682207,Poolin,False
682208,Binance Pool,False
682209,Binance Pool,False
682210,F2Pool,True
682211,AntPool,True
682212,AntPool,True
682213,AntPool,True
682214,AntPool,True
682215,BTC.com,False
682216,Foundry USA,True
682217,Huobi Pool,False
682218,OKExPool,False
682219,Rawpool,False
682220,Poolin,True
682221,Poolin,False
682222,Binance Pool,False
682223,Poolin,False
682224,SlushPool,True
682225,Foundry USA,True
682226,F2Pool,True
682227,ViaBTC,False
682228,F2Pool,True
682229,F2Pool,True
682230,EMCDPool,False
682231,Poolin,False
682232,F2Pool,True
682233,F2Pool,True
682234,F2Pool,True
682235,Poolin,False
682236,F2Pool,True
682237,AntPool,True
682238,Huobi Pool,False
682239,Huobi Pool,False
682240,BTC.com,False
682241,BTC.com,False
682242,F2Pool,True
682243,Foundry USA,True
682244,BTC.com,False
682245,F2Pool,True
682246,SlushPool,True
682247,Poolin,True
682248,AntPool,True
682249,AntPool,True
682250,Huobi Pool,False
682251,SlushPool,True
682252,BTC.com,False
682253,SpiderPool,False
682254,F2Pool,True
682255,BTCPool (unidentified),False
682256,Poolin,True
682257,1THash,True
682258,F2Pool,True
682259,Huobi Pool,False
682260,Foundry USA,True
682261,BTC.com,False
682262,BTC.com,False
682263,BTC.com,False
682264,ViaBTC,False
682265,F2Pool,True
682266,Poolin,True
682267,SlushPool,True
682268,Rawpool,False
682269,F2Pool,True
682270,Poolin,True
682271,EMCDPool,False
682272,Foundry USA,True
682273,AntPool,True
682274,ViaBTC,False
682275,1THash,False
682276,Poolin,True
682277,F2Pool,True
682278,BTC.com,False
682279,BTC.com,False
682280,BTC.com,False
682281,F2Pool,True
682282,Huobi Pool,False
682283,AntPool,True
682284,BTCPool (unidentified),False
682285,F2Pool,True
682286,BTC.com,False
682287,AntPool,True
682288,AntPool,True
682289,BTC.com,False
682290,Poolin,True
682291,AntPool,True
682292,BTC.com,False
682293,SBI Crypto,True
682294,ViaBTC,False
682295,AntPool,True
682296,BTC.com,False
682297,Poolin,False
682298,AntPool,True
682299,Poolin,False
682300,Binance Pool,False
682301,AntPool,True
682302,Poolin,False
682303,F2Pool,True
682304,F2Pool,True
682305,Binance Pool,False
682306,ViaBTC,False
682307,Poolin,True
682308,BTC.com,False
682309,AntPool,True
682310,AntPool,True
682311,BTC.com,False
682312,F2Pool,True
682313,BTC.com,False
682314,AntPool,True
682315,F2Pool,True
682316,Poolin,True
682317,F2Pool,True
682318,F2Pool,True
682319,Huobi Pool,False
682320,Poolin,False
682321,F2Pool,True
682322,Poolin,False
682323,AntPool,True
682324,Huobi Pool,False
682325,BTC.com,False
682326,Huobi Pool,False
682327,Poolin,True
682328,F2Pool,True
682329,AntPool,True
682330,SlushPool,True
682331,SBI Crypto,True
682332,AntPool,True
